id,department,regulation,academicYear,version,lastUpdated,year,semester,section,day,period,startTime,endTime,subjectName,subjectCode,faculty,room,building,credits,classType,laboratory,elective,batch,remarks
20a93918-5327-4f85-a651-1f5ba573eac0,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,1,08:45,09:35,Engineering Chemistry,CY3151,Dr. S. Kumar,C117,IT Block,3,Lecture,,,All,
2c3953e8-6b4e-4fd8-a0e3-ce542e0983d2,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,2,09:35,10:25,Matrices and Calculus,MA3151,Dr. R. Karthik,C164,IT Block,4,Lecture,,,All,
b96805e3-b4ea-4c35-8c1a-fd160e79870e,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,3,10:45,11:35,Engineering Chemistry,CY3151,Dr. S. Kumar,C301,IT Block,3,Lecture,,,All,
8ab5e596-87ae-42d0-9d83-88071f413a0a,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,4,11:35,12:25,Engineering Chemistry,CY3151,Dr. S. Kumar,C358,IT Block,3,Lecture,,,All,
a84b3bd4-da7e-4e0e-8ef1-9c53f73e7b08,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,5,13:15,14:05,Professional English - I,HS3152,Dr. M. Karthik,C330,IT Block,3,Lecture,,,All,
bc4ad4d5-78dd-49e3-8e23-ce420454ee6e,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,6,14:05,14:55,Professional English - I,HS3152,Dr. M. Karthik,C136,IT Block,3,Lecture,,,All,
1267db33-6414-4cc4-a2d4-da7d4ebd128c,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Monday,7,14:55,15:45,Matrices and Calculus,MA3151,Dr. R. Karthik,C308,IT Block,4,Lecture,,,All,
2c2e60db-ae10-4335-bad7-3497995b4307,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,1,08:45,09:35,Professional English - I,HS3152,Dr. M. Karthik,C151,IT Block,3,Lecture,,,All,
7906c63c-1433-42a9-b424-9377d5b8408a,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,2,09:35,10:25,Professional English - I,HS3152,Dr. M. Karthik,C389,IT Block,3,Lecture,,,All,
939520da-66b9-4440-b5de-dc21848c59ba,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,3,10:45,11:35,Engineering Chemistry,CY3151,Dr. S. Kumar,C187,IT Block,3,Lecture,,,All,
a6ee8517-89c5-4a0a-ab6b-1d900ec04733,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,4,11:35,12:25,Problem Solving and Python Programming,GE3151,Prof. A. Karthik,C271,IT Block,3,Lecture,,,All,
6fb9f483-6717-4305-b6f6-16a183c19e71,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,5,13:15,14:05,Problem Solving and Python Programming Laboratory,GE3171,Prof. V. Natarajan,Lab-7,IT Block,2,Lab,Lab-7,,All,
5bdde6b5-f368-4d31-a5f4-8bbb36d7ed8d,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,6,14:05,14:55,Problem Solving and Python Programming Laboratory,GE3171,Prof. V. Natarajan,Lab-7,IT Block,2,Lab,Lab-7,,All,
6a5b1da5-a805-44b3-93b1-4d2f39f27a88,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Tuesday,7,14:55,15:45,Problem Solving and Python Programming Laboratory,GE3171,Prof. V. Natarajan,Lab-7,IT Block,2,Lab,Lab-7,,All,
510cd34c-a900-4e8a-8a57-2fd563673f03,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,1,08:45,09:35,Matrices and Calculus,MA3151,Dr. R. Karthik,C139,IT Block,4,Lecture,,,All,
6b140eae-7acb-4939-b3af-1a39421a5ead,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,2,09:35,10:25,Heritage of Tamils,GE3152,Dr. M. Balaji,C297,IT Block,1,Lecture,,,All,
4d02b976-0f2b-4231-a432-2bc456ab1f8c,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,3,10:45,11:35,Heritage of Tamils,GE3152,Dr. M. Balaji,C109,IT Block,1,Lecture,,,All,
ac8e6ca5-fb6e-4f89-9100-0a335973aed0,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,4,11:35,12:25,Engineering Physics,PH3151,Prof. G. Srinivasan,C139,IT Block,3,Lecture,,,All,
d1c0c006-f446-41d2-8f92-45f9da4d54d4,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,5,13:15,14:05,Matrices and Calculus,MA3151,Dr. R. Karthik,C194,IT Block,4,Lecture,,,All,
accaf4ec-74e5-40aa-91a6-95497551ff1d,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,6,14:05,14:55,Problem Solving and Python Programming,GE3151,Prof. A. Karthik,C118,IT Block,3,Lecture,,,All,
b580426c-4cf4-42e2-864e-cdb24b5eaba9,CSE,2021,2026-2027,1.2,2026-07-19T06:43:29.540140Z,1,1,A,Wednesday,7,14:55,15:45,Problem Solving and Python Programming,GE3151,Prof. A. Karthik,C151,IT Block,3,Lecture,,,All,
