event_id,title,description,event_type,venue_room_id,venue_building_id,start_date,end_date,start_time,end_time,registration_deadline,organizer_department_id,organizer_club_id,eligibility,fee,status,last_updated
EVT001,Freshers Orientation 2026,"Welcome orientation for all first-year students of the 2026 batch. The program includes address by the Principal, department introductions, campus tour guidance, and an interactive Q&A session with senior students.",orientation,R021,B01,2026-07-16,2026-07-17,09:00,17:00,2026-07-14,D01,,all,0,completed,2026-07-01
EVT002,AI Hackathon 2026,"24-hour inter-college AI hackathon organized by the AIML department. Teams of 2–4 will build AI-powered solutions for real-world problems. Cash prizes worth Rs. 50,000. Open to all engineering students.",hackathon,R038,B03,2026-08-20,2026-08-21,09:00,09:00,2026-08-10,D02,,all,200,upcoming,2026-07-10
EVT003,Project Expo 2026,Annual student project exhibition where teams from all departments showcase their mini and final-year projects. Industry judges evaluate projects. Open to college and public visitors.,competition,R048,B05,2026-09-12,2026-09-12,09:00,17:00,2026-09-05,D01,,all,0,upcoming,2026-07-10
EVT004,Core Tech Symposium,"Inter-college technical symposium organized by ECE, EEE, ICE, and IT departments. Events include paper presentations, circuit debugging, and technical quizzes.",symposium,R038,B03,2026-09-20,2026-09-20,09:00,17:00,2026-09-12,D06,,all,100,upcoming,2026-07-10
EVT005,Circuit Workshop,Hands-on Arduino and embedded systems workshop for second and third-year ECE students. Participants will build a working IoT project in one day.,workshop,R030,B02,2026-08-14,2026-08-14,09:00,17:00,2026-08-08,D06,C003,all,100,upcoming,2026-07-10
EVT006,Mechanical Symposium — MechFest 2026,"Annual mechanical engineering symposium conducted in the ME Workshop. Events include paper presentations, technical quizzes, and model fabrication contests.",symposium,R049,B05,2026-10-10,2026-10-10,09:00,17:00,2026-10-01,D10,,all,50,upcoming,2026-07-10
EVT007,Annual Tech Fest — Techno 2026,"College-wide inter-departmental technical festival with events in coding, electronics, robotics, design, and innovation. 3-day event with external college participation.",fest,R049,B05,2026-10-25,2026-10-27,09:00,20:00,2026-10-15,D01,,all,150,upcoming,2026-07-12
EVT008,Placement Training — Resume Writing,Workshop on professional resume writing and LinkedIn optimization for final-year students. Conducted by the Placement Cell.,workshop,R021,B01,2026-08-02,2026-08-02,10:00,13:00,2026-07-30,,,IV,0,upcoming,2026-07-10
EVT009,General Conference 2026,College-wide general conference with keynote speakers from industry and academia discussing emerging technologies and career opportunities.,conference,R038,B03,2026-09-05,2026-09-05,09:00,17:00,2026-08-28,D01,,all,0,upcoming,2026-07-10
EVT010,Data Science Bootcamp,"Intensive 3-day bootcamp on data science using Python. Topics include pandas, NumPy, scikit-learn, and real dataset case studies. Organized by Data Mavericks club.",workshop,R036,B03,2026-08-22,2026-08-24,09:00,17:00,2026-08-15,D03,C008,all,300,upcoming,2026-07-12
EVT011,Cybersecurity Awareness Workshop,"Half-day workshop on digital safety, phishing prevention, password hygiene, and ethical hacking basics. Open to all students.",workshop,R021,B01,2026-08-28,2026-08-28,10:00,13:00,2026-08-25,D09,C006,all,0,upcoming,2026-07-12
EVT012,Sports Meet 2026,"Annual inter-department sports meet. Events include cricket, football, volleyball, basketball, athletics, chess, and carrom. Department-wise participation required.",sports,,B07,2026-11-15,2026-11-17,07:00,18:00,2026-11-01,D01,,all,0,upcoming,2026-07-12
EVT013,Library Week 2026,"Week-long book exhibition, reading challenges, and library awareness activities organized by the Library Office.",seminar,R010,B01,2026-09-01,2026-09-06,09:00,17:00,,,,all,0,upcoming,2026-07-12
EVT014,Entrepreneurship Conclave,Panel discussion and pitch session featuring alumni entrepreneurs and startup mentors. Organized by Innovators Guild.,seminar,R021,B01,2026-08-30,2026-08-30,10:00,16:00,2026-08-25,,C005,all,0,upcoming,2026-07-12
EVT015,Placement Drive — Infosys,"On-campus placement drive by Infosys for final-year students from CSE, IT, AIML, AIDS, and CSBS departments.",competition,R021,B01,2026-10-05,2026-10-05,09:00,17:00,2026-09-25,D01,,IV,0,upcoming,2026-07-12
