keyword_id,entity_type,entity_id,keyword
KW0001,building,B01,principal office
KW0002,building,B01,administrative office
KW0003,building,B01,admin
KW0004,building,B01,main building
KW0005,building,B01,first year
KW0006,building,B01,cse classes
KW0007,building,B01,exam cell
KW0008,building,B01,placement cell
KW0009,building,B01,library
KW0010,building,B01,accounts
KW0011,building,B01,fees
KW0012,building,B01,transport office
KW0013,building,B01,medical room
KW0014,building,B02,ece department
KW0015,building,B02,eee department
KW0016,building,B02,ice department
KW0017,building,B02,it department
KW0018,building,B02,electronics lab
KW0019,building,B02,engineering block
KW0020,building,B03,aiml department
KW0021,building,B03,aids department
KW0022,building,B03,csbs department
KW0023,building,B03,civil department
KW0024,building,B03,js-ch
KW0025,building,B03,ai lab
KW0026,building,B03,data science lab
KW0027,building,B03,js block
KW0028,building,B04,mechanical department
KW0029,building,B04,cad lab
KW0030,building,B04,thermodynamics lab
KW0031,building,B04,mech block
KW0032,building,B05,workshop
KW0033,building,B05,symposium
KW0034,building,B05,fabrication
KW0035,building,B05,tech fest venue
KW0036,building,B06,main gate
KW0037,building,B06,entrance
KW0038,building,B06,bus stop
KW0039,building,B06,security
KW0040,building,B06,visitor
KW0041,building,B07,sports
KW0042,building,B07,cricket
KW0043,building,B07,football
KW0044,building,B07,athletics
KW0045,building,B07,sports meet
KW0046,building,B08,canteen
KW0047,building,B08,food
KW0048,building,B08,lunch
KW0049,building,B08,breakfast
KW0050,building,B08,mess
KW0051,building,B09,hostel
KW0052,building,B09,warden
KW0053,building,B09,accommodation
KW0054,building,B09,dormitory
KW0055,building,B09,men's hostel
KW0056,building,B09,women's hostel
KW0057,department,D01,computer science
KW0058,department,D01,programming
KW0059,department,D01,software
KW0060,department,D01,algorithms
KW0061,department,D02,artificial intelligence
KW0062,department,D02,machine learning
KW0063,department,D02,deep learning
KW0064,department,D02,neural networks
KW0065,department,D03,data science
KW0066,department,D03,big data
KW0067,department,D03,analytics
KW0068,department,D03,python
KW0069,department,D04,business systems
KW0070,department,D04,erp
KW0071,department,D04,management
KW0072,department,D05,structural engineering
KW0073,department,D05,construction
KW0074,department,D05,concrete
KW0075,department,D06,electronics
KW0076,department,D06,communication
KW0077,department,D06,vlsi
KW0078,department,D06,embedded systems
KW0079,department,D07,electrical machines
KW0080,department,D07,power systems
KW0081,department,D07,transformers
