room_id,equipment_id,quantity
R011,EQ01,1
R012,EQ01,1
R013,EQ01,1
R014,EQ01,1
R015,EQ01,1
R016,EQ01,1
R017,EQ01,1
R018,EQ01,1
R019,EQ01,1
R020,EQ01,1
R011,EQ13,1
R012,EQ13,1
R013,EQ13,1
R014,EQ13,1
R015,EQ13,1
R016,EQ13,1
R017,EQ13,1
R018,EQ13,1
R019,EQ13,1
R020,EQ13,1
R021,EQ01,2
R021,EQ02,1
R021,EQ03,4
R021,EQ14,1
R019,EQ04,40
R019,EQ01,1
R020,EQ04,40
R020,EQ01,1
R030,EQ05,10
R030,EQ06,5
R030,EQ07,15
R030,EQ08,8
R031,EQ07,10
R040,EQ04,30
R040,EQ01,1
R040,EQ03,2
R041,EQ04,40
R041,EQ01,1
R047,EQ04,30
R047,EQ01,1
R046,EQ09,2
R048,EQ11,3
R048,EQ10,2
R048,EQ12,2
R049,EQ14,2
R049,EQ01,2
