club_id,student_id,role,joined_date
C001,STU0026,president,2026-07-20
C001,STU0025,member,2026-07-20
C001,STU0013,member,2026-07-20
C001,STU0039,treasurer,2026-07-20
C001,STU0012,member,2026-07-20
C001,STU0015,secretary,2026-07-20
C001,STU0016,treasurer,2026-07-20
C001,STU0009,treasurer,2026-07-20
C002,STU0035,president,2026-07-20
C002,STU0006,member,2026-07-20
C002,STU0040,member,2026-07-20
C002,STU0032,member,2026-07-20
C002,STU0013,treasurer,2026-07-20
C002,STU0027,member,2026-07-20
C002,STU0048,member,2026-07-20
C002,STU0038,member,2026-07-20
C003,STU0043,president,2026-07-20
C003,STU0012,member,2026-07-20
C003,STU0037,member,2026-07-20
C003,STU0022,member,2026-07-20
C003,STU0006,member,2026-07-20
C003,STU0034,member,2026-07-20
C003,STU0044,secretary,2026-07-20
C003,STU0046,member,2026-07-20
C004,STU0028,president,2026-07-20
C004,STU0014,secretary,2026-07-20
C004,STU0024,member,2026-07-20
C004,STU0035,member,2026-07-20
C004,STU0006,member,2026-07-20
C004,STU0030,member,2026-07-20
C004,STU0034,member,2026-07-20
C004,STU0013,treasurer,2026-07-20
C005,STU0011,president,2026-07-20
C005,STU0048,member,2026-07-20
C005,STU0029,member,2026-07-20
C005,STU0039,member,2026-07-20
C005,STU0012,member,2026-07-20
C005,STU0033,member,2026-07-20
C005,STU0043,treasurer,2026-07-20
C005,STU0046,member,2026-07-20
C006,STU0006,president,2026-07-20
C006,STU0028,member,2026-07-20
C006,STU0041,member,2026-07-20
C006,STU0050,member,2026-07-20
C006,STU0010,secretary,2026-07-20
C006,STU0020,member,2026-07-20
C006,STU0040,member,2026-07-20
C006,STU0001,member,2026-07-20
C007,STU0041,president,2026-07-20
C007,STU0014,treasurer,2026-07-20
C007,STU0029,member,2026-07-20
C007,STU0017,member,2026-07-20
C007,STU0035,member,2026-07-20
C007,STU0026,treasurer,2026-07-20
C007,STU0009,treasurer,2026-07-20
C007,STU0023,secretary,2026-07-20
C008,STU0050,president,2026-07-20
C008,STU0048,member,2026-07-20
C008,STU0010,member,2026-07-20
C008,STU0039,member,2026-07-20
C008,STU0027,member,2026-07-20
C008,STU0008,member,2026-07-20
C008,STU0007,member,2026-07-20
C008,STU0045,member,2026-07-20
C009,STU0036,president,2026-07-20
C009,STU0021,treasurer,2026-07-20
C009,STU0032,member,2026-07-20
C009,STU0015,secretary,2026-07-20
C009,STU0017,member,2026-07-20
C009,STU0008,member,2026-07-20
C009,STU0024,secretary,2026-07-20
C009,STU0012,member,2026-07-20
C010,STU0022,president,2026-07-20
C010,STU0014,member,2026-07-20
C010,STU0025,secretary,2026-07-20
C010,STU0026,member,2026-07-20
C010,STU0050,member,2026-07-20
C010,STU0047,member,2026-07-20
C010,STU0048,member,2026-07-20
C010,STU0027,treasurer,2026-07-20
C011,STU0026,president,2026-07-20
C011,STU0029,member,2026-07-20
C011,STU0015,treasurer,2026-07-20
C011,STU0020,treasurer,2026-07-20
C011,STU0042,member,2026-07-20
C011,STU0048,member,2026-07-20
C011,STU0046,treasurer,2026-07-20
C011,STU0047,treasurer,2026-07-20
C012,STU0046,president,2026-07-20
C012,STU0016,member,2026-07-20
C012,STU0025,member,2026-07-20
C012,STU0019,secretary,2026-07-20
C012,STU0029,member,2026-07-20
C012,STU0006,treasurer,2026-07-20
C012,STU0050,member,2026-07-20
C012,STU0027,member,2026-07-20
