club_id,club_name,category,focus_area,meeting_building_id,meeting_room_id,meeting_frequency,meeting_day,meeting_time,coordinator_faculty_id,lead_student_id,contact_email,registration_process_id,description
C001,Neural Nexus,technical,Artificial Intelligence and Machine Learning,B03,R040,weekly,Saturday,15:00-17:00,F005,STU0001,neuralnexus@sce.edu,PROC05,"Neural Nexus is the AI and Machine Learning club of the college. Members work on AI projects, attend paper reading sessions, participate in hackathons, and organize workshops on deep learning, computer vision, and NLP. Open to all departments."
C002,CodeForge,technical,Competitive Programming and Software Development,B01,R019,weekly,Friday,15:00-17:00,F003,STU0002,codeforge@sce.edu,PROC05,"CodeForge is the competitive programming and development club. Members participate in coding contests (LeetCode, Codeforces), build open-source projects, and organize internal hackathons. Regular DSA bootcamps are conducted."
C003,CircuitSphere,technical,Electronics and Embedded Systems,B02,R030,biweekly,Saturday,14:00-16:00,F014,STU0003,circuitsphere@sce.edu,PROC05,"CircuitSphere is the electronics and embedded systems club for ECE and EEE students. Activities include Arduino projects, PCB design workshops, robotics mini-projects, and participation in national electronics competitions."
C004,RoboWorks,technical,Robotics and Automation,B05,R048,weekly,Saturday,10:00-13:00,F023,STU0004,roboworks@sce.edu,PROC05,"RoboWorks is the robotics club that designs and builds autonomous robots. Members participate in national-level robotics competitions, Robocon, and organize robot-building workshops for freshers."
C005,Innovators Guild,innovation,Startup and Entrepreneurship,B03,R038,monthly,Last Saturday,14:00-17:00,F010,STU0005,innovators@sce.edu,PROC05,"The Innovators Guild is the college entrepreneurship club. Activities include startup pitch sessions, business model workshops, mentor talks by industry leaders, and participation in startup competitions."
C006,Cyber Sentinels,technical,Cybersecurity and Ethical Hacking,B01,R020,weekly,Wednesday,16:00-18:00,F021,STU0006,cybersentinels@sce.edu,PROC05,"Cyber Sentinels is the cybersecurity club. Members practice ethical hacking, CTF (Capture the Flag) competitions, penetration testing, and organize awareness sessions on digital safety."
C007,Pixel Studio,creative,Design and UI/UX,B03,R035,weekly,Thursday,15:00-17:00,F007,STU0007,pixelstudio@sce.edu,PROC05,"Pixel Studio is the design and UI/UX club. Members work with Figma, Adobe XD, and Illustrator to create digital designs, college posters, and user interface prototypes. Open to all students."
C008,Data Mavericks,technical,Data Science and Analytics,B03,R036,weekly,Saturday,15:00-17:00,F008,STU0008,datamavericks@sce.edu,PROC05,"Data Mavericks is the data science club. Members work on Kaggle competitions, data visualization projects, and learn SQL, Python, and BI tools like Tableau and Power BI."
C009,Eco Builders,social,Sustainability and Environment,B03,R038,monthly,First Saturday,10:00-12:00,F012,STU0009,ecobuilders@sce.edu,PROC05,"Eco Builders is the campus environment club. Activities include tree planting drives, e-waste awareness campaigns, and green campus initiatives."
C010,SpeakUp Forum,communication,Public Speaking and Debate,B01,R021,biweekly,Saturday,14:00-16:00,F001,STU0010,speakup@sce.edu,PROC05,"SpeakUp Forum is the public speaking and debate club. Regular activities include group discussions, extempore speaking, debate competitions, and JAM (Just A Minute) sessions."
C011,Ignite Motors,technical,Automobile Engineering,B04,R046,monthly,Last Saturday,10:00-13:00,F025,STU0011,ignite.motors@sce.edu,PROC05,"Ignite Motors is the automobile engineering club for ME students. Members build go-karts, work on BAJA SAE designs, and organize automobile workshops."
C012,AeroVision,technical,Drone and UAV Technology,B02,R029,monthly,Second Saturday,14:00-17:00,F016,STU0012,aerovision@sce.edu,PROC05,"AeroVision is the drone and UAV club. Members build and fly drones, participate in drone racing competitions, and learn about aerial photography and drone regulations."
