department_id,department_code,department_name,building_id,hod_faculty_id,email,phone,description
D01,CSE,Computer Science and Engineering,B01,F001,cse@sce.edu,+91-9876540001,"The CSE department offers undergraduate programs in Computer Science and Engineering. It is housed in RV Block and focuses on programming, algorithms, software engineering, databases, and emerging technologies. CSE is one of the largest and most sought-after departments on campus."
D02,AIML,Artificial Intelligence and Machine Learning,B03,F005,aiml@sce.edu,+91-9876540002,"The AIML department specializes in Artificial Intelligence, Machine Learning, Deep Learning, and Data Analytics. Located in BD Block, it features state-of-the-art AI labs and is one of the newest departments on campus, introduced to meet industry demand for AI professionals."
D03,AIDS,Artificial Intelligence and Data Science,B03,F008,aids@sce.edu,+91-9876540003,"The AIDS department focuses on Data Science, Big Data Analytics, and AI-driven decision-making. It shares BD Block with AIML and offers hands-on exposure to data engineering tools, Python, R, and cloud platforms."
D04,CSBS,Computer Science and Business Systems,B03,F010,csbs@sce.edu,+91-9876540004,"The CSBS department combines computer science with business and management education. Students gain skills in programming, ERP systems, business analytics, and entrepreneurship. Located in BD Block."
D05,CIVIL,Civil Engineering,B03,F012,civil@sce.edu,+91-9876540005,"The Civil Engineering department covers structural engineering, environmental engineering, transportation, and construction management. Housed in BD Block with access to soil testing and material testing labs."
D06,ECE,Electronics and Communication Engineering,B02,F014,ece@sce.edu,+91-9876540006,"The ECE department covers electronics, communication systems, VLSI design, embedded systems, and signal processing. Located in KS Block with fully equipped electronics and communication labs."
D07,EEE,Electrical and Electronics Engineering,B02,F017,eee@sce.edu,+91-9876540007,"The EEE department covers electrical machines, power systems, control systems, and power electronics. Located in KS Block with electrical machines labs and high-voltage testing facilities."
D08,ICE,Instrumentation and Control Engineering,B02,F019,ice@sce.edu,+91-9876540008,"The ICE department, also known as Instrumentation and Control Engineering, covers process control, sensors, PLCs, SCADA systems, and industrial automation. Located in KS Block."
D09,IT,Information Technology,B02,F021,it@sce.edu,+91-9876540009,"The IT department focuses on networking, web development, cloud computing, cybersecurity, and information systems management. Located in KS Block with dedicated IT labs and server rooms."
D10,MECH,Mechanical Engineering,B04,F023,mech@sce.edu,+91-9876540010,"The Mechanical Engineering department covers thermodynamics, fluid mechanics, manufacturing, CAD/CAM, and industrial engineering. Located in ME Block with access to the ME Workshop for hands-on practice."
