announcement_id,title,description,category,target_audience,publish_date,expiry_date,priority,posted_by,related_event_id,last_updated
ANN001,Welcome to the 2026–27 Academic Year,The academic year 2026–27 begins on 15 July 2026. Students are advised to collect their timetables from their respective department offices. Freshers are requested to report to RV Block Seminar Hall for orientation on 16 July.,academic,all,2026-07-10,2026-08-10,high,Principal Office,,2026-07-10
ANN002,First Year Orientation — 16 & 17 July 2026,All first-year students must attend the Freshers Orientation on 16 and 17 July 2026 at RV Block Seminar Hall 1 (R021). Attendance is mandatory. Parents are welcome on Day 1 (16 July). College buses will run on both days.,academic,first_year,2026-07-10,2026-07-17,critical,Administrative Office,EVT001,2026-07-10
ANN003,Fee Payment Deadline — First Year Students,"Fee payment for first-year students must be completed by 31 July 2026. Pay online at fees.sce.edu or at the Accounts Office, ground floor RV Block. Late payment attracts Rs. 100 penalty per day. Bring your admission letter and student ID.",academic,first_year,2026-07-10,2026-07-31,high,Accounts Office,,2026-07-10
ANN004,"Fee Payment Deadline — II, III and IV Year Students",Returning students must complete fee payment by 5 August 2026. Online payment available at fees.sce.edu. Offline payment accepted at the Accounts Office from 09:00 AM to 05:00 PM.,academic,all,2026-07-10,2026-08-05,high,Accounts Office,,2026-07-10
ANN005,AI Hackathon 2026 — Registrations Open,The AIML Department is organizing the AI Hackathon 2026 on 20–21 August 2026. Registration fee: Rs. 200 per team (2–4 members). Last date to register: 10 August 2026. Register at forms.sce.edu/hackathon.,event,all,2026-07-15,2026-08-10,medium,AIML Department,EVT002,2026-07-15
ANN006,Club Registrations Open — 2026–27,College clubs are now accepting registrations for the academic year 2026–27. Visit the respective club booths at the college foyer during the first two weeks of semester. No fee for most clubs. Complete list at portal.sce.edu/clubs.,academic,all,2026-07-15,2026-08-10,medium,Dean of Student Affairs,,2026-07-15
ANN007,Internal Assessment 1 — August 25 to September 5,Internal Assessment 1 examinations for all departments will be conducted from 25 August to 5 September 2026. Subject-wise schedule will be published by the Exam Cell by 15 August. Students are advised to register for the CIA portal by 10 August.,exam,all,2026-07-20,2026-09-05,high,Exam Cell,,2026-07-20
ANN008,Library Week 2026 — September 1 to 6,"The Central Library is organizing Library Week from 1–6 September 2026. Events include book exhibitions, reading challenges, author talks, and library quiz. All students are welcome. No registration required.",library,all,2026-08-20,2026-09-06,low,Library Office,EVT013,2026-08-20
ANN009,Project Expo 2026 — Abstract Submission,Third and final-year students are invited to submit project abstracts for Project Expo 2026 (12 September 2026). Abstracts must be submitted through the college portal by 5 September. Maximum team size: 4.,event,all,2026-08-15,2026-09-05,medium,CSE Department,EVT003,2026-08-15
ANN010,Placement Drive — Infosys — October 5,"Infosys will conduct an on-campus placement drive on 5 October 2026 for final-year students from CSE, IT, AIML, AIDS, and CSBS. Minimum CGPA: 6.0. Register at the Placement Cell by 25 September with your updated resume.",placement,IV,2026-09-10,2026-09-25,high,Placement Cell,EVT015,2026-09-10
ANN011,Independence Day Holiday — 15 August 2026,"The college will remain closed on 15 August 2026 (Independence Day). However, the flag hoisting ceremony will be conducted on campus at 8:00 AM. Hostel students and NCC/NSS members are encouraged to attend.",general,all,2026-08-10,2026-08-15,medium,Principal Office,,2026-08-10
ANN012,WiFi Login Issue — Resolved,"The campus WiFi login issue reported on 12 July has been resolved. Students should now be able to log in with their register number. If you still face issues, visit the IT Support Desk on the second floor of RV Block or call +91-9876540210.",general,all,2026-07-13,2026-07-20,low,IT Support Desk,,2026-07-13
ANN013,Dussehra Holidays — October 1 to 5,The college will be closed from 1–5 October 2026 for Dussehra. Hostel students may remain on campus. Mess will operate during the holidays. Academic activities resume on 6 October 2026.,general,all,2026-09-20,2026-10-05,medium,Administrative Office,,2026-09-20
ANN014,Anti-Ragging Declaration — Mandatory for All Students,All students (new and returning) must complete the Anti-Ragging online declaration at antiragging.in by 25 July 2026. Failure to submit will result in withholding of hall tickets and certificates. Parents must also sign the declaration.,general,all,2026-07-10,2026-07-25,critical,Anti-Ragging Committee,,2026-07-10
ANN015,Sports Meet 2026 — Department Registrations Open,"The Annual Sports Meet 2026 will be held from 15–17 November 2026 at the Sports Ground. Events include cricket, football, volleyball, athletics, and indoor games. Register your department team through your class representative by 1 November.",sports,all,2026-10-15,2026-11-01,medium,Physical Education Department,EVT012,2026-10-15
