fee_id,department_id,year,academic_year,tuition_fee,lab_fee,library_fee,exam_fee,misc_fee,total_fee,due_date,late_penalty_per_day
FEE01,D01,I,2026-2027,90000,3000,2000,3000,2000,100000,2026-07-31,100
FEE02,D01,II,2026-2027,90000,5000,2000,3000,2000,102000,2026-07-31,100
FEE03,D01,III,2026-2027,90000,5000,2000,3000,2000,102000,2026-07-31,100
FEE04,D01,IV,2026-2027,90000,5000,2000,3000,2000,102000,2026-07-31,100
FEE05,D02,I,2026-2027,95000,3000,2000,3000,2000,105000,2026-07-31,100
FEE06,D02,II,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE07,D02,III,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE08,D02,IV,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE09,D03,I,2026-2027,95000,3000,2000,3000,2000,105000,2026-07-31,100
FEE10,D03,II,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE11,D03,III,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE12,D03,IV,2026-2027,95000,5000,2000,3000,2000,107000,2026-07-31,100
FEE13,D04,I,2026-2027,88000,3000,2000,3000,2000,98000,2026-07-31,100
FEE14,D04,II,2026-2027,88000,5000,2000,3000,2000,100000,2026-07-31,100
FEE15,D04,III,2026-2027,88000,5000,2000,3000,2000,100000,2026-07-31,100
FEE16,D04,IV,2026-2027,88000,5000,2000,3000,2000,100000,2026-07-31,100
FEE17,D05,I,2026-2027,75000,3000,2000,3000,2000,85000,2026-07-31,100
FEE18,D05,II,2026-2027,75000,5000,2000,3000,2000,87000,2026-07-31,100
FEE19,D05,III,2026-2027,75000,5000,2000,3000,2000,87000,2026-07-31,100
FEE20,D05,IV,2026-2027,75000,5000,2000,3000,2000,87000,2026-07-31,100
FEE21,D06,I,2026-2027,80000,3000,2000,3000,2000,90000,2026-07-31,100
FEE22,D06,II,2026-2027,80000,5000,2000,3000,2000,92000,2026-07-31,100
FEE23,D06,III,2026-2027,80000,5000,2000,3000,2000,92000,2026-07-31,100
FEE24,D06,IV,2026-2027,80000,5000,2000,3000,2000,92000,2026-07-31,100
FEE25,D07,I,2026-2027,78000,3000,2000,3000,2000,88000,2026-07-31,100
FEE26,D07,II,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE27,D07,III,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE28,D07,IV,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE29,D08,I,2026-2027,78000,3000,2000,3000,2000,88000,2026-07-31,100
FEE30,D08,II,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE31,D08,III,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE32,D08,IV,2026-2027,78000,5000,2000,3000,2000,90000,2026-07-31,100
FEE33,D09,I,2026-2027,82000,3000,2000,3000,2000,92000,2026-07-31,100
FEE34,D09,II,2026-2027,82000,5000,2000,3000,2000,94000,2026-07-31,100
FEE35,D09,III,2026-2027,82000,5000,2000,3000,2000,94000,2026-07-31,100
FEE36,D09,IV,2026-2027,82000,5000,2000,3000,2000,94000,2026-07-31,100
FEE37,D10,I,2026-2027,72000,3000,2000,3000,2000,82000,2026-07-31,100
FEE38,D10,II,2026-2027,72000,5000,2000,3000,2000,84000,2026-07-31,100
FEE39,D10,III,2026-2027,72000,5000,2000,3000,2000,84000,2026-07-31,100
FEE40,D10,IV,2026-2027,72000,5000,2000,3000,2000,84000,2026-07-31,100
