timetable_id,department_id,year,section,semester,academic_year,day,period,time,subject_id,room_id,faculty_id,lab_or_theory,effective_from,effective_until
TT0001,D02,III,A,5,2026-2027,Monday,P1,09:00-09:50,SUB013,R037,F005,theory,2026-07-15,2026-11-22
TT0002,D02,III,A,5,2026-2027,Monday,P2,09:50-10:40,SUB011,R037,F006,theory,2026-07-15,2026-11-22
TT0003,D02,III,A,5,2026-2027,Monday,P3,10:55-11:45,SUB014,R037,F007,theory,2026-07-15,2026-11-22
TT0004,D02,III,A,5,2026-2027,Monday,P4,11:45-12:35,SUB012,R040,F005,lab,2026-07-15,2026-11-22
TT0005,D02,III,A,5,2026-2027,Monday,P5,01:20-02:10,SUB013,R037,F006,theory,2026-07-15,2026-11-22
TT0006,D02,III,A,5,2026-2027,Monday,P6,02:10-03:00,SUB011,R037,F007,theory,2026-07-15,2026-11-22
TT0007,D02,III,A,5,2026-2027,Tuesday,P1,09:00-09:50,SUB013,R037,F005,theory,2026-07-15,2026-11-22
TT0008,D02,III,A,5,2026-2027,Tuesday,P2,09:50-10:40,SUB011,R037,F006,theory,2026-07-15,2026-11-22
TT0009,D02,III,A,5,2026-2027,Tuesday,P3,10:55-11:45,SUB014,R037,F007,theory,2026-07-15,2026-11-22
TT0010,D02,III,A,5,2026-2027,Tuesday,P4,11:45-12:35,SUB012,R040,F005,lab,2026-07-15,2026-11-22
TT0011,D02,III,A,5,2026-2027,Tuesday,P5,01:20-02:10,SUB013,R037,F006,theory,2026-07-15,2026-11-22
TT0012,D02,III,A,5,2026-2027,Tuesday,P6,02:10-03:00,SUB011,R037,F007,theory,2026-07-15,2026-11-22
TT0013,D02,III,A,5,2026-2027,Wednesday,P1,09:00-09:50,SUB013,R037,F005,theory,2026-07-15,2026-11-22
TT0014,D02,III,A,5,2026-2027,Wednesday,P2,09:50-10:40,SUB011,R037,F006,theory,2026-07-15,2026-11-22
TT0015,D02,III,A,5,2026-2027,Wednesday,P3,10:55-11:45,SUB014,R037,F007,theory,2026-07-15,2026-11-22
TT0016,D02,III,A,5,2026-2027,Wednesday,P4,11:45-12:35,SUB012,R040,F005,lab,2026-07-15,2026-11-22
TT0017,D02,III,A,5,2026-2027,Wednesday,P5,01:20-02:10,SUB013,R037,F006,theory,2026-07-15,2026-11-22
TT0018,D02,III,A,5,2026-2027,Wednesday,P6,02:10-03:00,SUB011,R037,F007,theory,2026-07-15,2026-11-22
TT0019,D02,III,A,5,2026-2027,Thursday,P1,09:00-09:50,SUB013,R037,F005,theory,2026-07-15,2026-11-22
TT0020,D02,III,A,5,2026-2027,Thursday,P2,09:50-10:40,SUB011,R037,F006,theory,2026-07-15,2026-11-22
TT0021,D02,III,A,5,2026-2027,Thursday,P3,10:55-11:45,SUB014,R037,F007,theory,2026-07-15,2026-11-22
TT0022,D02,III,A,5,2026-2027,Thursday,P4,11:45-12:35,SUB012,R040,F005,lab,2026-07-15,2026-11-22
TT0023,D02,III,A,5,2026-2027,Thursday,P5,01:20-02:10,SUB013,R037,F006,theory,2026-07-15,2026-11-22
TT0024,D02,III,A,5,2026-2027,Thursday,P6,02:10-03:00,SUB011,R037,F007,theory,2026-07-15,2026-11-22
TT0025,D02,III,A,5,2026-2027,Friday,P1,09:00-09:50,SUB013,R037,F005,theory,2026-07-15,2026-11-22
TT0026,D02,III,A,5,2026-2027,Friday,P2,09:50-10:40,SUB011,R037,F006,theory,2026-07-15,2026-11-22
TT0027,D02,III,A,5,2026-2027,Friday,P3,10:55-11:45,SUB014,R037,F007,theory,2026-07-15,2026-11-22
TT0028,D02,III,A,5,2026-2027,Friday,P4,11:45-12:35,SUB012,R040,F005,lab,2026-07-15,2026-11-22
TT0029,D02,III,A,5,2026-2027,Friday,P5,01:20-02:10,SUB013,R037,F006,theory,2026-07-15,2026-11-22
TT0030,D02,III,A,5,2026-2027,Friday,P6,02:10-03:00,SUB011,R037,F007,theory,2026-07-15,2026-11-22
TT0031,D01,I,A,1,2026-2027,Monday,P1,09:00-09:50,SUB001,R011,F002,theory,2026-07-15,2026-11-22
TT0032,D01,I,A,1,2026-2027,Monday,P2,09:50-10:40,SUB002,R011,F003,theory,2026-07-15,2026-11-22
TT0033,D01,I,A,1,2026-2027,Monday,P3,10:55-11:45,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0034,D01,I,A,1,2026-2027,Monday,P4,11:45-12:35,SUB002,R011,F002,theory,2026-07-15,2026-11-22
TT0035,D01,I,A,1,2026-2027,Monday,P5,01:20-02:10,SUB001,R011,F003,theory,2026-07-15,2026-11-22
TT0036,D01,I,A,1,2026-2027,Monday,P6,02:10-03:00,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0037,D01,I,A,1,2026-2027,Tuesday,P1,09:00-09:50,SUB001,R011,F002,theory,2026-07-15,2026-11-22
TT0038,D01,I,A,1,2026-2027,Tuesday,P2,09:50-10:40,SUB002,R011,F003,theory,2026-07-15,2026-11-22
TT0039,D01,I,A,1,2026-2027,Tuesday,P3,10:55-11:45,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0040,D01,I,A,1,2026-2027,Tuesday,P4,11:45-12:35,SUB002,R011,F002,theory,2026-07-15,2026-11-22
