edge_id,source_building_id,dest_building_id,distance_meters,estimated_minutes,accessible_route,landmark,directions
NAV001,B06,B01,80,2,yes,College Bus Drop Zone,"From the Main Gate, walk straight along the main road. RV Block will be directly ahead on your right within 80 meters."
NAV002,B06,B08,90,2,yes,Security Cabin,"From the Main Gate, walk along the main road and turn left toward the canteen building visible from the gate."
NAV003,B01,B02,150,3,yes,Central Pathway,"From RV Block, take the central pathway heading east. KS Block is on your left after the pathway junction."
NAV004,B01,B03,200,3,yes,Central Pathway Junction,"From RV Block, walk along the central pathway past KS Block junction. BD Block is straight ahead."
NAV005,B01,B08,50,1,yes,Near RV Block Entrance,"From RV Block, exit through the main entrance and the Canteen Block is immediately on your left."
NAV006,B01,B06,80,2,yes,Main Road,"From RV Block, walk toward the Main Gate along the main road. The gate is visible from the RV Block entrance."
NAV007,B02,B01,150,3,yes,Central Pathway,"From KS Block, walk west along the central pathway. RV Block is at the end."
NAV008,B02,B03,100,2,yes,Academic Corridor,"From KS Block, walk along the academic corridor connecting to BD Block. Use the covered walkway."
NAV009,B02,B04,200,4,no,Sports Ground side,"From KS Block, walk past the sports ground side toward ME Block. The path is not fully accessible."
NAV010,B03,B01,200,3,yes,Central Pathway,"From BD Block, take the central pathway west toward RV Block."
NAV011,B03,B02,100,2,yes,Academic Corridor,"From BD Block, take the covered academic corridor heading toward KS Block."
NAV012,B03,B05,120,2,yes,Behind BD Block,"From BD Block, exit through the rear entrance. The ME Workshop is directly behind."
NAV013,B03,B07,80,1,yes,Rear Exit,"From BD Block, take the rear exit and the Sports Ground is immediately visible."
NAV014,B04,B05,60,1,yes,Workshop Path,"From ME Block, take the side exit. The ME Workshop is 60 meters away."
NAV015,B04,B02,200,4,no,Side road,"From ME Block, walk along the side road past the sports area to reach KS Block."
NAV016,B05,B04,60,1,yes,Side Path,"From ME Workshop, the ME Block is directly adjacent via the connecting path."
NAV017,B05,B03,120,2,yes,Rear Pathway,"From ME Workshop, walk along the rear pathway to reach BD Block."
NAV018,B07,B03,80,1,yes,Rear Entrance,"From the Sports Ground, walk toward BD Block's rear entrance."
NAV019,B07,B09,150,3,yes,North Campus Road,"From the Sports Ground, take the north campus road toward the Hostel Complex."
NAV020,B09,B07,150,3,yes,North Campus Road,"From the Hostel Complex, walk south along the campus road toward the Sports Ground."
NAV021,B09,B01,350,6,yes,Main Campus Road,"From the Hostel Complex, walk along the main campus road south. RV Block is at the southern end of the campus."
