faculty_id,subject_id,academic_year,semester
F001,SUB004,2026-2027,3
F001,SUB005,2026-2027,3
F002,SUB001,2026-2027,1
F002,SUB008,2026-2027,7
F003,SUB002,2026-2027,1
F003,SUB007,2026-2027,5
F004,SUB003,2026-2027,1
F004,SUB006,2026-2027,5
F005,SUB010,2026-2027,1
F005,SUB011,2026-2027,3
F005,SUB013,2026-2027,5
F006,SUB011,2026-2027,3
F006,SUB013,2026-2027,5
F007,SUB012,2026-2027,3
F007,SUB014,2026-2027,5
F008,SUB016,2026-2027,1
F008,SUB018,2026-2027,5
F009,SUB017,2026-2027,3
F010,SUB019,2026-2027,1
F010,SUB020,2026-2027,3
F012,SUB021,2026-2027,1
F012,SUB022,2026-2027,3
F014,SUB023,2026-2027,1
F014,SUB024,2026-2027,3
F015,SUB024,2026-2027,3
F015,SUB025,2026-2027,5
F016,SUB025,2026-2027,5
F017,SUB026,2026-2027,1
F017,SUB027,2026-2027,3
F019,SUB028,2026-2027,1
F019,SUB029,2026-2027,3
F021,SUB030,2026-2027,1
F021,SUB031,2026-2027,3
F022,SUB032,2026-2027,5
F023,SUB033,2026-2027,1
F023,SUB034,2026-2027,3
F025,SUB035,2026-2027,5
F009,SUB015,2026-2027,7
