subject_id,subject_code,subject_name,department_id,credits,subject_type,semester,year,description
SUB001,CS101,Engineering Mathematics I,D01,4,theory,1,I,"Fundamental mathematics for engineers covering matrices, calculus, and differential equations."
SUB002,CS102,Programming in C,D01,4,theory,1,I,"Introduction to C programming: syntax, data types, control structures, functions, and pointers."
SUB003,CS102L,Programming Lab,D01,2,lab,1,I,Practical C programming laboratory sessions.
SUB004,CS201,Data Structures,D01,4,theory,3,II,"Stacks, queues, linked lists, trees, graphs, and sorting algorithms."
SUB005,CS202,Operating Systems,D01,4,theory,3,II,"Process management, memory management, file systems, and concurrency."
SUB006,CS301,Database Management Systems,D01,4,theory,5,III,"Relational databases, SQL, normalization, transactions, and PL/SQL."
SUB007,CS302,Computer Networks,D01,4,theory,5,III,"OSI model, TCP/IP, routing, switching, and network security fundamentals."
SUB008,CS401,Software Engineering,D01,4,theory,7,IV,"Software development life cycle, agile methods, testing, and project management."
SUB009,CS402,Machine Learning,D01,4,elective,7,IV,"Supervised and unsupervised learning, neural networks, and model evaluation."
SUB010,AI101,Introduction to AI,D02,4,theory,1,I,"History and foundations of artificial intelligence, search algorithms, and knowledge representation."
SUB011,AI201,Machine Learning,D02,4,theory,3,II,"Regression, classification, clustering, ensemble methods, and model optimization."
SUB012,AI201L,ML Lab,D02,2,lab,3,II,Hands-on machine learning using scikit-learn and Python.
SUB013,AI301,Deep Learning,D02,4,theory,5,III,"Neural networks, CNNs, RNNs, transformers, and practical deep learning frameworks."
SUB014,AI302,Natural Language Processing,D02,4,theory,5,III,"Text preprocessing, word embeddings, language models, and NLP applications."
SUB015,AI401,Computer Vision,D02,4,theory,7,IV,"Image processing, object detection, segmentation, and vision transformers."
SUB016,DS101,Python for Data Science,D03,4,theory,1,I,Python programming with focus on data manipulation using pandas and NumPy.
SUB017,DS201,Data Warehousing,D03,4,theory,3,II,"Data warehouse architecture, ETL pipelines, and OLAP systems."
SUB018,DS301,Big Data Analytics,D03,4,theory,5,III,"Hadoop, Spark, MapReduce, and distributed data processing."
SUB019,CSBS101,Fundamentals of Business,D04,4,theory,1,I,"Business organization, management principles, and entrepreneurship."
SUB020,CSBS201,ERP Systems,D04,4,theory,3,II,Enterprise Resource Planning using SAP and Oracle platforms.
SUB021,CE101,Engineering Drawing,D05,4,theory,1,I,"Technical drawing, orthographic projections, and AutoCAD basics."
SUB022,CE201,Structural Analysis,D05,4,theory,3,II,"Analysis of beams, frames, trusses, and influence lines."
SUB023,EC101,Basic Electronics,D06,4,theory,1,I,"Diodes, transistors, amplifiers, and basic electronic circuits."
SUB024,EC201,Digital Electronics,D06,4,theory,3,II,"Boolean algebra, logic gates, combinational and sequential circuits."
SUB025,EC301,VLSI Design,D06,4,theory,5,III,"CMOS design, HDL, layout, and verification of digital ICs."
SUB026,EE101,Circuit Theory,D07,4,theory,1,I,"KVL, KCL, Thevenin, Norton theorems, and AC circuit analysis."
SUB027,EE201,Electrical Machines,D07,4,theory,3,II,"DC motors, transformers, induction motors, and synchronous machines."
SUB028,IC101,Instrumentation Principles,D08,4,theory,1,I,"Sensors, transducers, measurement systems, and signal conditioning."
SUB029,IC201,Process Control,D08,4,theory,3,II,"PID controllers, control system design, and SCADA systems."
SUB030,IT101,Web Technologies,D09,4,theory,1,I,"HTML, CSS, JavaScript, and introductory web development."
SUB031,IT201,Computer Networks,D09,4,theory,3,II,"Networking fundamentals, protocols, and network administration."
SUB032,IT301,Cloud Computing,D09,4,theory,5,III,"Cloud platforms (AWS, GCP, Azure), virtualization, and DevOps basics."
SUB033,ME101,Engineering Mechanics,D10,4,theory,1,I,"Statics, dynamics, free body diagrams, and friction."
SUB034,ME201,Thermodynamics,D10,4,theory,3,II,"Laws of thermodynamics, heat engines, cycles, and energy transfer."
SUB035,ME301,Fluid Mechanics,D10,4,theory,5,III,"Fluid properties, Bernoulli equation, viscous flow, and turbomachinery."
