event_name,venue,description,image_url
Orientation,RV Block,First-year orientation,https://images.unsplash.com/photo-1523580494863-6f3031224c94?auto=format&fit=crop&w=600&q=80
Placement Training,RV Block,Career guidance,https://images.unsplash.com/photo-1586281380349-632531db7ed4?auto=format&fit=crop&w=600&q=80
General Conference,BD Block,College-wide conference,https://images.unsplash.com/photo-1540575467063-178a50c2df87?auto=format&fit=crop&w=600&q=80
AI Hackathon,BD Block,Technical hackathon,https://images.unsplash.com/photo-1504384308090-c894fdcc538d?auto=format&fit=crop&w=600&q=80
Project Expo,BD Block,Student project exhibition,https://images.unsplash.com/photo-1531482615713-2afd69097998?auto=format&fit=crop&w=600&q=80
Core Tech Symposium,KS Block,ECE/EEE/ICE/IT event,https://images.unsplash.com/photo-1518770660439-4636190af475?auto=format&fit=crop&w=600&q=80
Circuit Workshop,KS Block,Hands-on electronics,https://images.unsplash.com/photo-1555664424-778a1e5e1b48?auto=format&fit=crop&w=600&q=80
Mechanical Symposium,ME Workshop,Mechanical department symposium,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&w=600&q=80
Workshop,ME Workshop,Skill development,https://images.unsplash.com/photo-1517048676732-d65bc937f952?auto=format&fit=crop&w=600&q=80
Annual Tech Fest,BD Block,Interdepartment technical festival,https://images.unsplash.com/photo-1492684223066-81342ee5ff30?auto=format&fit=crop&w=600&q=80
