exam_id,department_id,year,semester,subject_id,exam_date,exam_time,duration_minutes,hall_room_id,exam_type,last_updated
EXM001,D01,I,1,SUB001,2026-08-25,09:30,180,R013,internal_1,2026-07-17
EXM002,D01,I,1,SUB002,2026-08-26,09:30,180,R034,internal_1,2026-07-17
EXM003,D01,I,1,SUB003,2026-08-27,09:30,180,R014,internal_1,2026-07-17
EXM004,D01,II,3,SUB004,2026-08-28,09:30,180,R023,internal_1,2026-07-17
EXM005,D02,I,1,SUB010,2026-08-25,09:30,180,R022,internal_1,2026-07-17
EXM006,D02,II,3,SUB011,2026-08-26,09:30,180,R023,internal_1,2026-07-17
EXM007,D02,II,3,SUB012,2026-08-27,09:30,180,R022,internal_1,2026-07-17
EXM008,D02,III,5,SUB013,2026-08-28,09:30,180,R044,internal_1,2026-07-17
EXM009,D03,I,1,SUB016,2026-08-25,09:30,180,R022,internal_1,2026-07-17
EXM010,D03,II,3,SUB017,2026-08-26,09:30,180,R035,internal_1,2026-07-17
EXM011,D03,III,5,SUB018,2026-08-27,09:30,180,R011,internal_1,2026-07-17
EXM012,D04,I,1,SUB019,2026-08-25,09:30,180,R035,internal_1,2026-07-17
EXM013,D04,II,3,SUB020,2026-08-26,09:30,180,R014,internal_1,2026-07-17
EXM014,D05,I,1,SUB021,2026-08-25,09:30,180,R012,internal_1,2026-07-17
EXM015,D05,II,3,SUB022,2026-08-26,09:30,180,R014,internal_1,2026-07-17
EXM016,D06,I,1,SUB023,2026-08-25,09:30,180,R033,internal_1,2026-07-17
EXM017,D06,II,3,SUB024,2026-08-26,09:30,180,R034,internal_1,2026-07-17
EXM018,D06,III,5,SUB025,2026-08-27,09:30,180,R035,internal_1,2026-07-17
EXM019,D07,I,1,SUB026,2026-08-25,09:30,180,R014,internal_1,2026-07-17
EXM020,D07,II,3,SUB027,2026-08-26,09:30,180,R034,internal_1,2026-07-17
EXM021,D08,I,1,SUB028,2026-08-25,09:30,180,R034,internal_1,2026-07-17
EXM022,D08,II,3,SUB029,2026-08-26,09:30,180,R034,internal_1,2026-07-17
EXM023,D09,I,1,SUB030,2026-08-25,09:30,180,R011,internal_1,2026-07-17
EXM024,D09,II,3,SUB031,2026-08-26,09:30,180,R012,internal_1,2026-07-17
EXM025,D09,III,5,SUB032,2026-08-27,09:30,180,R022,internal_1,2026-07-17
EXM026,D10,I,1,SUB033,2026-08-25,09:30,180,R014,internal_1,2026-07-17
EXM027,D10,II,3,SUB034,2026-08-26,09:30,180,R033,internal_1,2026-07-17
EXM028,D10,III,5,SUB035,2026-08-27,09:30,180,R014,internal_1,2026-07-17
