faq_id,question,answer,category,related_entity_type,related_entity_id
FAQ01,Where is the Principal Office?,"The Principal Office is located on the Ground Floor of RV Block (the main building). You can reach it by entering from the main entrance and turning right. The Principal, Dr. V. Ramachandran, is available Mon–Fri from 09:00 AM to 05:00 PM.",building,office,OFF01
FAQ02,Where is the Administrative Office?,"The Administrative Office is on the Ground Floor of RV Block, adjacent to the Principal Office. It handles student ID cards, bonafide certificates, and general records. Open Mon–Fri 09:00 AM to 05:00 PM.",building,office,OFF02
FAQ03,Where is the Exam Cell?,"The Exam Cell is on the First Floor of RV Block. It handles examination schedules, hall ticket distribution, arrear management, and transcript requests. Contact: examcell@sce.edu, +91-9876540204.",building,office,OFF04
FAQ04,How do I get a Bonafide Certificate?,"Visit the Administrative Office on the Ground Floor of RV Block with your Student ID and a letter stating the purpose (e.g., bank loan, scholarship). You can also apply online at forms.sce.edu/bonafide. The certificate is ready in 2 working days.",registration,office,OFF02
FAQ05,How do I get a bus pass?,"Apply at the Transport Office on the Ground Floor of RV Block. Select your bus route, pay the monthly fare at the Accounts Office, and submit the form with your student ID and address proof. Pass is issued within 3 working days.",registration,office,OFF08
FAQ06,What is the fee for a bus pass?,Bus pass fees vary by route. Routes range from Rs. 300 to Rs. 550 per month depending on the distance. Check the full route list and fees at the Transport Office or portal.sce.edu/transport.,fees,office,OFF08
FAQ07,Where is the canteen?,"The Central Canteen is in the Canteen Block, adjacent to RV Block. It is open Monday to Saturday from 08:00 AM to 04:30 PM. It serves breakfast (08:00–10:00 AM), lunch (12:00–02:30 PM), and snacks (03:30–04:30 PM). Tea and coffee are available all day.",campus,facility,FAC02
FAQ08,What are the library timings?,The Central Library on the First Floor of RV Block is open Monday to Saturday from 08:30 AM to 05:30 PM. Closed on Sundays and national holidays. Borrow up to 3 books for 14 days. Renew online at library.sce.edu.,campus,facility,FAC01
FAQ09,How do I connect to campus WiFi?,"Select 'SCE_CAMPUS' on your device. Login with your register number and default password (DDMMYYYY + last 2 digits of register number). For issues, contact the IT Support Desk on the second floor of RV Block or call +91-9876540210.",it,it_onboarding,ITO01
FAQ10,How do I access the LMS?,Go to lms.sce.edu and log in with your register number and date of birth (DDMMYYYY). Your courses are automatically enrolled. Contact IT Support Desk if you cannot access your courses.,it,it_onboarding,ITO03
FAQ11,What is my college email ID?,Your college email is firstname.registernumber@student.sce.edu. Default password is your register number. Log in at mail.sce.edu and change your password on first login.,it,it_onboarding,ITO02
FAQ12,Where are AIML classes held?,The AIML department is located in BD Block (also known as JS-CH Block). Third-year AIML students primarily use rooms BD-2-301 and BD-2-302 on the third floor. The AI Lab is on the third floor (Room R040).,academic,department,D02
FAQ13,Where are ECE classes held?,The ECE department is in KS Block (east of RV Block). Classes are held in rooms KS-301 to KS-303. The Electronics Lab is on the second floor of KS Block.,academic,department,D06
