process_id,process_name,documents_required,approval_authority,office_id,building_id,fee_amount,online_form_url,availability,turnaround_days,description,last_updated
PROC01,Hackathon Registration,"Student ID card, college email confirmation",Faculty Coordinator Approval,OFF09,B01,200,https://forms.sce.edu/hackathon,open,1,To register for a college hackathon: collect the event form from the organizing department or complete the online form. Get faculty approval and submit with student ID and fee receipt (if applicable).,2026-07-01
PROC02,Club Registration,Student ID card,Club Coordinator Approval,OFF09,B03,0,https://forms.sce.edu/clubs,open,2,"To join a club: attend the club's open house session (usually during the first two weeks of the semester), fill the club registration form, and get approval from the faculty coordinator. No fee for most clubs.",2026-07-01
PROC03,Library Membership,"Student ID card, department letter",Library Verification,OFF07,B01,0,https://forms.sce.edu/library,open,1,"Library membership is automatically activated when you enroll. Visit the Library Office (first floor, RV Block) with your student ID to collect your library card and activate borrowing privileges.",2026-07-01
PROC04,Bus Pass Application,"Student ID, fee receipt, address proof",Transport Office Approval,OFF08,B01,400,https://forms.sce.edu/buspass,open,3,"Apply for a bus pass at the Transport Office (ground floor, RV Block). Submit the application with address proof and fee receipt. Pass is issued within 3 working days.",2026-07-01
PROC05,Hostel Admission,"Admission letter, parent signature, medical certificate",Warden Approval,OFF02,B09,0,https://forms.sce.edu/hostel,seasonal,5,"Hostel applications are processed before semester start. Fill the online form, pay the hostel fee at Accounts Office, and report to the warden with all documents. Rooms are allotted on a first-come first-served basis.",2026-07-01
PROC06,Semester Fee Payment,Student ID card,Receipt Generation,OFF03,B01,0,https://fees.sce.edu,open,1,"Pay semester fees online at fees.sce.edu or in person at the Accounts Office (ground floor, RV Block). Online payment via net banking, UPI, or debit card. Collect the receipt after payment.",2026-07-01
PROC07,Bonafide Certificate,"Student ID card, purpose letter",Administrative Office Approval,OFF02,B01,0,https://forms.sce.edu/bonafide,open,2,"Apply for a Bonafide Certificate at the Administrative Office (ground floor, RV Block) online or in person. Mention the purpose (bank loan, scholarship, visa). The certificate is ready in 2 working days.",2026-07-01
PROC08,OD Request,"Event proof, HOD permission letter",HOD Approval,OFF09,B01,0,,open,1,To apply for an On-Duty (OD) request: submit an OD form along with the event invitation/participation proof to your department HOD office at least 2 days before the event.,2026-07-01
PROC09,Leave Application,Parent/guardian letter (for prolonged leave),Advisor/HOD Approval,OFF09,B01,0,,open,1,"Submit a leave application to your class advisor or HOD office. For leave exceeding 3 days, a parent letter is required. Online submission available through the student portal.",2026-07-01
PROC10,Transcript Request,Fee receipt (Rs. 200 per copy),Exam Cell Approval,OFF04,B01,200,https://forms.sce.edu/transcript,open,5,"Apply for official transcripts at the Exam Cell (first floor, RV Block). Submit the application with fee payment receipt. Transcripts are ready within 5 working days. Additional charges apply for express processing.",2026-07-01
