block,room_number,room_type
KS,KS-312,Classroom
KS,KS-313,Classroom
KS,KS-315,Classroom
KS,KS-316,Classroom
BD,BD-2-103,Classroom
BD,BD-2-104,Classroom
BD,BD-2-105,Classroom
BD,BD-2-201,Classroom
BD,BD-2-202,Classroom
BD,BD-2-205,Classroom
BD,BD-2-301,Classroom
BD,BD-2-302,Classroom
BD,JS Block A,Classroom
BD,JS Block B,Classroom
BD,JS Block C,Classroom
BD,JS Block D,Classroom
RV,RV-301,Classroom
RV,RV-302,Classroom
RV,RV-303,Classroom
RV,RV-304,Classroom
RV,RV-305,Classroom
RV,RV-306,Classroom
RV,RV-307,Classroom
RV,RV-402,Classroom
RV,RV-403,Classroom
RV,RV-404,Classroom
RV,RV-405,Classroom
RV,RV-406,Classroom
RV,RV-407,Classroom
RV,RV-409,Classroom
RV,RV-410,Classroom
RV,RV-412,Classroom
RV,RV-413,Classroom
RV,RV-414,Classroom
RV,RV-415,Classroom
ME,ME-301,Classroom
ME,ME-302,Classroom
ME,ME-303,Classroom
ME,ME-401,Classroom
ME,ME-402,Classroom
ME,ME-403,Classroom
ME,MECH LAB,Laboratory
ME,ME Workshop,Workshop
MBA,MBA-302,Classroom
